LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HOUSECOST,NOMINAL,IDX2015,A,1970,2.552379708,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1971,2.851352119,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1972,3.183667177,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1973,3.837183079,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1974,4.690199158,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1975,5.202008806,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1976,5.793840808,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1977,6.267862121,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1978,6.590174386,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1979,7.4604175,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1980,8.434578533,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1981,9.707711978,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1982,10.05503123,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1983,10.6296362,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1984,11.85386709,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1985,13.06198237,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1986,13.97025288,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1987,14.77893221,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1988,18.1088388,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1989,22.58760271,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1990,22.93364407,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1991,23.52883521,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1992,23.88871823,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1993,24.51159268,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1994,25.38954905,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1995,25.69604283,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1996,25.90366764,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1997,26.94179173,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1998,28.92114832,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1999,31.01914766,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2000,33.59567277,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2001,37.3685123,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2002,44.37238946,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2003,52.37565666,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2004,55.647,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2005,56.66475,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2006,60.5795,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2007,66.96025,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2008,69.60275,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2009,72.42125,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2010,80.877,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2011,79.13475,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2012,78.88025,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2013,84.1065,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2014,91.72025,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2016,105.5,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2017,114.30825,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2018,112.66375,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2019,108.08375,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2000,58.58386076,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2001,59.08182358,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2002,59.41868078,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2003,59.57978639,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2004,58.43740111,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2005,61.35194818,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2006,63.87105419,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2007,66.85883109,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2008,67.57648339,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2009,70.21275712,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2010,76.7975,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2011,81.5975,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2012,87.57,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2013,92.1,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2014,95.33,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2016,108.5325,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2017,114.26,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2018,119.64,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2019,126.6,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1970,7.735564275,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1971,7.676965801,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1972,8.350879682,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1973,9.523478733,
